Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-09-24; 00:00:40; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 16%; AUS; ZU; TROCKEN; 0.13A; 
2024-09-24; 00:01:40; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 23°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2024-09-24; 00:02:40; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2024-09-24; 00:03:40; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2024-09-24; 00:04:40; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2024-09-24; 00:05:40; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.17A; 
2024-09-24; 00:06:40; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 16%; AUS; ZU; TROCKEN; 0.15A; 
2024-09-24; 00:07:40; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2024-09-24; 00:08:40; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2024-09-24; 00:09:39; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2024-09-24; 00:10:39; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 16%; AUS; ZU; TROCKEN; 0.17A; 
2024-09-24; 00:11:39; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.15A; 
2024-09-24; 00:12:39; übergangsbetr.;   Brenner Aus  ; 1; 0; 22°; 28°; 38°; 55%; 0%; 0%; 0%; 100.0%; 397°; 40°; 32°; 0%; 14°; 0°; 24°; 0°; 23°; 127°; 127°; 10900; 16673h; 28°; 80°; 22°; 17%; AUS; ZU; TROCKEN; 0.13A; 
