Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-06-13; 00:17:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 33°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:18:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 33°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:19:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 33°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:20:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 33°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:21:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 33°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:22:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 33°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:23:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 33°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:24:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 33°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:25:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
2024-06-13; 00:26:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.13A; 
2024-06-13; 00:27:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 23°; 27°; 37°; 54%; 0%; 0%; 0%; 100.0%; 397°; 42°; 32°; 0%; 11°; 0°; 23°; 0°; 22°; 127°; 127°; 10883; 16643h; 27°; 80°; 22°; 18%; AUS; ZU; TROCKEN; 0.11A; 
